name,city_id,is_activated,category,latitude,longitude,province_id
Ada Medikal Diğer Tıbbi Malz Satışı,34,TRUE,1,41.139505,29.086857,432
Uzman Dental Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.035575,28.85385,426
Özel Moda Polikliniği,34,TRUE,3,40.984577,29.024374,444
Op. Dr. Ayça Çarak,34,TRUE,4,41.049313,28.996088,456
Özeller Saat Optik,34,TRUE,5,41.034132,28.680531,439
İntermed Nişantaşı Polikliniği,34,TRUE,3,41.051367,28.991553,456
Psk. Emine Sinem Derli,34,TRUE,6,41.053353,28.987579,456
Uzm. Dr. Tuğba Türe,34,TRUE,4,41.048585,28.994016,456
Bbc Dental,34,TRUE,2,41.049483,28.993387,456
Prof. Dr. Gediz Murat Serin,34,TRUE,4,41.049254,28.993492,456
Op. Dr. Hakkı H. İzmirli,34,TRUE,4,41.053173,28.989264,456
Uzm. Dr. Şuayip Sancaktar,34,TRUE,4,40.964622,29.277421,453
Diş Hekimi Emre Özbir,34,TRUE,7,41.076023,29.01999,431
Dr. Dt. Onur Utku Yüksel,34,TRUE,7,41.05341,28.987675,456
Ada Optik,34,TRUE,5,41.075777,28.882782,442
Erg. Rumeysa Sultan Sağlam,34,TRUE,4,41.058937,28.908469,442
Özel İstanbul Dental Center Ağız ve Diş Sağlığı Merkezi,34,TRUE,2,41.053504,28.987736,456
Semavi Optik,34,TRUE,5,41.011096,28.69921,439
Özel Fizyomed Polikliniği,34,TRUE,3,40.995613,28.646168,433
Berra Optik,34,TRUE,5,41.03936,29.078239,459
City Optik,34,TRUE,5,41.0126,28.645901,433
Diş Hekimi Sezer Yıldız,34,TRUE,7,41.079336,28.883952,442
Diş Hekimi Mehmet Keser,34,TRUE,7,41.041601,28.903794,430
Özge Medikal,34,TRUE,1,41.034463,28.897644,430
Diş Hekimi Ayfer Kargacı Güven,34,TRUE,7,41.044601,28.908236,430
Hüsmen Ayan,34,TRUE,7,41.059726,28.913479,442
Özel Enka Diş,34,TRUE,2,41.037765,28.912364,430
Lens Medikal,34,TRUE,1,41.03687,28.912055,430
Forma Medikal Market,34,TRUE,1,41.036871,28.897812,430
Diş Hekimi Filiz Balaban,34,TRUE,7,41.038474,28.907825,430
Diş Hekimi Zehra Kıvılcım,34,TRUE,7,41.045018,28.906204,430
İlker Optik,34,TRUE,5,41.039056,28.912228,430
Diş Hekimi Banu Aksoy,34,TRUE,7,41.038287,28.908093,430
Diyetisyen Rabia Üçeler,34,TRUE,8,41.035695,28.912756,430
